race_desc,offense_name,count
American Indian or Alaska Native,Simple Assault,167
American Indian or Alaska Native,Drug/Narcotic Violations,50
American Indian or Alaska Native,Intimidation,43
American Indian or Alaska Native,All Other Larceny,36
American Indian or Alaska Native,Shoplifting,34
American Indian or Alaska Native,Destruction/Damage/Vandalism of Property,33
American Indian or Alaska Native,False Pretenses/Swindle/Confidence Game,24
American Indian or Alaska Native,Criminal Sexual Contact,20
American Indian or Alaska Native,Aggravated Assault,17
American Indian or Alaska Native,Counterfeiting/Forgery,8
American Indian or Alaska Native,Drug Equipment Violations,8
American Indian or Alaska Native,Pornography/Obscene Material,8
American Indian or Alaska Native,Impersonation,6
American Indian or Alaska Native,Weapon Law Violations,5
American Indian or Alaska Native,Theft From Building,4
American Indian or Alaska Native,Motor Vehicle Theft,4
American Indian or Alaska Native,Burglary/Breaking & Entering,4
American Indian or Alaska Native,Kidnapping/Abduction,4
American Indian or Alaska Native,Identity Theft,3
American Indian or Alaska Native,Rape,3
American Indian or Alaska Native,Betting/Wagering,3
American Indian or Alaska Native,Sodomy,3
American Indian or Alaska Native,Statutory Rape,2
American Indian or Alaska Native,Hacking/Computer Invasion,2
American Indian or Alaska Native,Credit Card/Automated Teller Machine Fraud,1
American Indian or Alaska Native,Gambling Equipment Violation,1
American Indian or Alaska Native,Murder and Nonnegligent Manslaughter,1
American Indian or Alaska Native,Embezzlement,1
American Indian or Alaska Native,Arson,1
American Indian or Alaska Native,Sexual Assault With An Object,1
American Indian or Alaska Native,Wire Fraud,1
American Indian or Alaska Native,Incest,1
American Indian or Alaska Native,Stolen Property Offenses,1
American Indian or Alaska Native,Extortion/Blackmail,1
American Indian or Alaska Native,Prostitution,1
American Indian or Alaska Native,Animal Cruelty,1
American Indian or Alaska Native,Operating/Promoting/Assisting Gambling,1
Asian,Simple Assault,722
Asian,Shoplifting,291
Asian,Drug/Narcotic Violations,222
Asian,Intimidation,177
Asian,All Other Larceny,163
Asian,False Pretenses/Swindle/Confidence Game,133
Asian,Aggravated Assault,123
Asian,Destruction/Damage/Vandalism of Property,113
Asian,Counterfeiting/Forgery,51
Asian,Criminal Sexual Contact,50
Asian,Weapon Law Violations,40
Asian,Assisting or Promoting Prostitution,34
Asian,Prostitution,33
Asian,Drug Equipment Violations,30
Asian,Kidnapping/Abduction,26
Asian,Pornography/Obscene Material,23
Asian,Burglary/Breaking & Entering,23
Asian,Theft From Building,22
Asian,Stolen Property Offenses,15
Asian,Motor Vehicle Theft,14
Asian,Theft From Motor Vehicle,14
Asian,Impersonation,14
Asian,Identity Theft,13
Asian,Sodomy,12
Asian,"Human Trafficking, Involuntary Servitude",11
Asian,Rape,9
Asian,Credit Card/Automated Teller Machine Fraud,9
Asian,Extortion/Blackmail,8
Asian,Robbery,8
Asian,Sexual Assault With An Object,7
Asian,Betting/Wagering,7
Asian,Arson,5
Asian,Murder and Nonnegligent Manslaughter,4
Asian,Animal Cruelty,3
Asian,Hacking/Computer Invasion,2
Asian,Theft of Motor Vehicle Parts or Accessories,1
Asian,Incest,1
Asian,"Human Trafficking, Commercial Sex Acts",1
Asian,Embezzlement,1
Black or African American,Simple Assault,42871
Black or African American,Drug/Narcotic Violations,22977
Black or African American,Shoplifting,14848
Black or African American,Destruction/Damage/Vandalism of Property,12894
Black or African American,All Other Larceny,11285
Black or African American,Aggravated Assault,10272
Black or African American,Intimidation,9914
Black or African American,False Pretenses/Swindle/Confidence Game,7826
Black or African American,Weapon Law Violations,6633
Black or African American,Motor Vehicle Theft,3711
Black or African American,Theft From Motor Vehicle,3510
Black or African American,Burglary/Breaking & Entering,3327
Black or African American,Drug Equipment Violations,3006
Black or African American,Robbery,2637
Black or African American,Stolen Property Offenses,2627
Black or African American,Counterfeiting/Forgery,1917
Black or African American,Criminal Sexual Contact,1449
Black or African American,Kidnapping/Abduction,1407
Black or African American,Credit Card/Automated Teller Machine Fraud,1378
Black or African American,Theft From Building,1059
Black or African American,Rape,788
Black or African American,Impersonation,716
Black or African American,Pornography/Obscene Material,547
Black or African American,Murder and Nonnegligent Manslaughter,516
Black or African American,Pocket-picking,494
Black or African American,Identity Theft,490
Black or African American,Sodomy,410
Black or African American,Animal Cruelty,277
Black or African American,Embezzlement,228
Black or African American,Arson,207
Black or African American,Sexual Assault With An Object,198
Black or African American,Statutory Rape,191
Black or African American,Purse-snatching,118
Black or African American,Theft of Motor Vehicle Parts or Accessories,113
Black or African American,Prostitution,106
Black or African American,Assisting or Promoting Prostitution,78
Black or African American,"Human Trafficking, Commercial Sex Acts",66
Black or African American,Wire Fraud,60
Black or African American,Extortion/Blackmail,56
Black or African American,Negligent Manslaughter,33
Black or African American,Hacking/Computer Invasion,24
Black or African American,Betting/Wagering,24
Black or African American,Justifiable Homicide,18
Black or African American,"Human Trafficking, Involuntary Servitude",14
Black or African American,Theft From Coin-Operated Machine or Device,14
Black or African American,Incest,10
Black or African American,Welfare Fraud,9
Black or African American,Gambling Equipment Violation,7
Black or African American,Bribery,6
Black or African American,Purchasing Prostitution,5
Native Hawaiian or Other Pacific Islander,Simple Assault,57
Native Hawaiian or Other Pacific Islander,Shoplifting,19
Native Hawaiian or Other Pacific Islander,All Other Larceny,16
Native Hawaiian or Other Pacific Islander,Drug/Narcotic Violations,15
Native Hawaiian or Other Pacific Islander,Destruction/Damage/Vandalism of Property,14
Native Hawaiian or Other Pacific Islander,Aggravated Assault,12
Native Hawaiian or Other Pacific Islander,Intimidation,12
Native Hawaiian or Other Pacific Islander,False Pretenses/Swindle/Confidence Game,10
Native Hawaiian or Other Pacific Islander,Weapon Law Violations,7
Native Hawaiian or Other Pacific Islander,Burglary/Breaking & Entering,7
Native Hawaiian or Other Pacific Islander,Counterfeiting/Forgery,5
Native Hawaiian or Other Pacific Islander,Criminal Sexual Contact,4
Native Hawaiian or Other Pacific Islander,Credit Card/Automated Teller Machine Fraud,3
Native Hawaiian or Other Pacific Islander,Theft From Motor Vehicle,3
Native Hawaiian or Other Pacific Islander,Rape,3
Native Hawaiian or Other Pacific Islander,Motor Vehicle Theft,3
Native Hawaiian or Other Pacific Islander,Robbery,2
Native Hawaiian or Other Pacific Islander,Drug Equipment Violations,2
Native Hawaiian or Other Pacific Islander,Impersonation,2
Native Hawaiian or Other Pacific Islander,Pornography/Obscene Material,2
Native Hawaiian or Other Pacific Islander,Wire Fraud,1
